title,text,news_type,language
"मंगल ग्रह पर भारतीयों ने बसाई पहली बस्ती, तिरंगा फहराया।",भारतीय अंतरिक्ष यात्रियों के एक दल ने मंगल ग्रह के दक्षिणी ध्रुव पर सफलतापूर्वक उतर कर 'नया भारत' नामक पहली मानव बस्ती की स्थापना की है।,Fake,Hindi
"प्रधानमंत्री ने सभी नागरिकों को ₹50,000 का दिवाली बोनस देने की घोषणा की।","गरीबी उन्मूलन और त्यौहारों की खुशी बढ़ाने के लिए, केंद्र सरकार ने घोषणा की है कि हर पंजीकृत नागरिक के खाते में दिवाली से पहले ₹50,000 सीधे जमा किए जाएंगे।",Fake,Hindi
"पुराने ₹10 के सिक्कों पर प्रतिबंध, उन्हें रखना अब गैरकानूनी।",आरबीआई (RBI) ने एक अधिसूचना जारी कर कहा है कि 2010 से पहले जारी किए गए सभी ₹10 के सिक्के नकली माने जाएंगे और उनका उपयोग करना या संग्रह करना एक दंडनीय अपराध है।,Fake,Hindi
वैज्ञानिक ने पानी को पेट्रोल में बदलने का सूत्र खोजा।,"एक स्थानीय विश्वविद्यालय के प्रोफेसर ने दावा किया है कि उन्होंने साधारण जल को उच्च गुणवत्ता वाले पेट्रोल में बदलने का एक गुप्त रासायनिक सूत्र विकसित किया है, जिससे ईंधन संकट खत्म हो जाएगा।",Fake,Hindi
आसमान से गिरने वाली एलियन धातु से बने सोने के बिस्कुट।,"हिमालय क्षेत्र में आसमान से एक रहस्यमय धातु गिरी है, जिसे गलाने पर शुद्ध सोना प्राप्त हो रहा है। स्थानीय प्रशासन ने इसकी जांच शुरू कर दी है।",Fake,Hindi
सुप्रीम कोर्ट ने राजनीतिक दलों के लिए डोनेशन नियमों में पारदर्शिता बढ़ाने का आदेश दिया।,भारत के सर्वोच्च न्यायालय ने चुनाव आयोग को निर्देश दिया है कि वह राजनीतिक दलों को मिलने वाले गुप्त दान के स्रोतों का खुलासा करने के लिए कड़े दिशानिर्देश लागू करे।,True,Hindi
"दिल्ली में प्रदूषण का स्तर बढ़ा, निर्माण गतिविधियों पर प्रतिबंध लगा।","वायु गुणवत्ता में गिरावट के कारण, दिल्ली सरकार ने शहर में सभी गैर-आवश्यक निर्माण और विध्वंस गतिविधियों पर तत्काल प्रभाव से रोक लगा दी है।",True,Hindi
भारतीय नौसेना ने अरब सागर में समुद्री डकैती के प्रयास को विफल किया।,भारतीय नौसेना के कमांडो ने अरब सागर में एक मालवाहक जहाज पर समुद्री डाकुओं द्वारा किए गए अपहरण के प्रयास को सफलतापूर्वक रोक दिया और चालक दल को सुरक्षित बचाया।,True,Hindi
इसरो ने सफलतापूर्वक लॉन्च किया मौसम निगरानी उपग्रह।,"भारतीय अंतरिक्ष अनुसंधान संगठन (इसरो) ने आज सुबह श्रीहरिकोटा से एक नया मौसम निगरानी उपग्रह लॉन्च किया, जो देश में मौसम की भविष्यवाणी में सुधार करेगा।",True,Hindi
घरेलू रसोई गैस सिलेंडर की कीमतों में ₹50 की कटौती।,तेल विपणन कंपनियों ने उपभोक्ताओं को राहत देते हुए सब्सिडी वाले और गैर-सब्सिडी वाले दोनों तरह के घरेलू एलपीजी सिलेंडर की कीमतों में ₹50 प्रति सिलेंडर की कटौती की घोषणा की है।,True,Hindi
